Name,Position
Hugo Francisco Cuenca Martínez,ATT
Emanuele Elia,MIL
Davide Merola,ATT
Luigi Canotto,ATT
Ionuț Radu,G
Niklas Pyyhtiä,MIL
Tommaso Ravaglioli,ATT
Marko Pjaca,ATT
Jerdy Schouten,MIL
Christian Travaglini,DEF
Kingstone Mutandwa,ATT
Vittorio Parigini,MIL
João Costa,ATT
Ali Dembélé,DEF
Lorenzo Peli,MIL
Tommaso Mancini,ATT
Stefano Rubbi,G
Kevin Zeroli,MIL
Gabriel Brazão,G
Davide Bartesaghi,DEF
Denso Kasius,DEF
Trivante Vincent Stewart,ATT
Louis Munteanu,ATT
Davide Bettella,DEF
Merih Demiral,DEF
Mario Sampirisi,DEF
Jordan Longhi,ATT
Christos Kourfalidis,MIL
Marco Carraro,MIL
Joaquín Sosa,DEF
Álex Jiménez,DEF
Simone Mazzocchi,ATT
Joseph Nonge Boende,MIL
Maat Caprini,ATT
Sekou Diawara,ATT
Iacopo Regonesi,DEF
Liam Henderson,MIL
Devis Vásquez,G
Pietro Passador,G
Mikael,ATT
Marco Bertini,MIL
Mattia Turra,MIL
Mihajlo Ilić,DEF
Gonzalo Escalante,MIL
Elayis Tavşan,ATT
Corentin Louakima,DEF
Joaquín Correa,ATT
Marko Božić,MIL
Stefano Gori,G
Emil Ceïde,ATT
Nikolaos Michelis,DEF
Jan-Carlo Šimić,DEF
Luigi Sepe,G
Thomas Vettorel,G
Darian Males,MIL
Jacopo Pellegrini,ATT
Leander Dendoncker,MIL
Carlo Pinsoglio,G
Lovro Štubljar,G
Gastón Pereiro,ATT
Samuel John Nwachukwu,DEF
Emmanuel Ekong,ATT
Assan Ceesay,ATT
Daniele Ghilardi,DEF
Zinedin Smajlović,DEF
Tommaso Guercio,DEF
Pietro Comuzzo,DEF
Simone Verdi,ATT
Cristiano Lombardi,ATT
Przemysław Szymiński,DEF
Nikola Sekulov,ATT
Riccardo Pagano,MIL
Marco Palestra,DEF
Diego González,ATT
Musa Barrow,ATT
Marcelo Brozović,MIL
Marcos Antônio,MIL
Marco Olivieri,ATT
Raymond Anokye Asante,ATT
Facundo Colidio,ATT
Georginio Wijnaldum,MIL
Pietro Boer,G
Matteo Ricci,MIL
Federico Magro,G
Hirving Lozano,ATT
Matteo Giuseppe Plaia,DEF
Giovanni Daffara,G
Mattia Valoti,MIL
Matteo Motta,DEF
Luca Boncori,ATT
Facundo González,DEF
Coli Saco,MIL
Koray Günter,DEF
Hubert Idasiak,G
Alphadjo Cissè,ATT
Marco Varnier,DEF
İsak Vural,MIL
Kevin Haveri,DEF
Alessio Furlanetto,G
Siren Diao Balde,ATT
Niccolò Pisilli,MIL
Aster Vranckx,MIL
Stefan Ilsanker,MIL
Mattia Zanotti,DEF
Jérémie Boga,ATT
Bryan Reynolds,DEF
Ange N'Guessan,DEF
Kevin Rüegg,DEF
Filip Stanković,G
Luigi Cherubini,MIL
Velizar-Iliya Svetozarov Iliev,G
Marco Ballarini,MIL
Leonardo Colombo,MIL
Mateusz Praszelik,MIL
Clinton Nsiala,DEF
Tito Gasperini,G
Tiago Djaló,DEF
Matteo Angeli,DEF
Lorenzo Palmisani,G
Jacopo Seghetti,G
Lucien Agoumé,MIL
Karim Zedadka,MIL
Raffaele Di Gennaro,G
Matteo Palma,DEF
Marley Aké,MIL
Lovro Golič,DEF
Stefano Sensi,MIL
Agustín Álvarez,ATT
Emmanuel Latte Lath,ATT
Marko Lazetić,ATT
Christos Papadopoulos,MIL
Jacopo Desogus,ATT
Kelvin Yeboah,ATT
Lukas Klitten,DEF
Francesco Rossi,G
Gennaro Borrelli,ATT
Tarik Muharemović,DEF
Matteo Duțu,DEF
Leonardo Cerri,ATT
Nicola Bagnolini,G
Duccio Degli Innocenti,MIL
Denis Zakaria,MIL
Salim Abubakar,MIL
Andres Emil Sfait,MIL
Ajdin Hrustić,MIL
Mohamed Ihattaren,MIL
Francesco Camarda,ATT
Nicolò Zaniolo,MIL
Panos Retsos,DEF
Christian Corradi,DEF
Gregorio Salvati,G
Dennis Curatolo,ATT
Milan Kremenovic,DEF
Papu Gómez,MIL
Rareş Burnete,ATT
André Anderson,MIL
Yeferson Paz,DEF
Nikita Contini,G
Robin Gosens,DEF
Diego Valencia,ATT
Noah Raveyre,G
David Pejičić,MIL
Daniel Macej,DEF
Emmanuele Cicerelli,ATT
Sebastiano Esposito,ATT
Alessandro Falleni,ATT
Davide Angelo Ghislandi,DEF
José Antonio Gómez Márquez,MIL
Matija Popović,MIL
Sebastian Breza,G
Elio Capradossi,DEF
Riccardo Stivanello,DEF
Cristo González,ATT
Alessandro Sersanti,MIL
Mattia De Sciglio,DG
Andrea La Mantia,ATT
Amadou Makhtarlayi Sarr,ATT
Mady Camara,MIL
Rasmus Højlund,ATT
Andrea Ferraris,ATT
Franz Stolz,G
Adam Bakoune,DEF
Gianluca Pegolo,G
Luka Bogdan,DEF
Nikolaos Nestoras Botis,G
Jonathan Silva Pertinhes,MIL
Luis Hasa,MIL
Gonzalo Villar,MIL
Eugenio Lamanna,G
Carles Pérez,ATT
John Björkengren,MIL
Giulio Donati,DEF
Étienne Camara,MIL
Riccardo Arboscello,MIL
Antonio Iervolino,MIL
Alieu Eybi Njie,ATT
Joakim Mæhle,DEF
Ángel Di María,MIL
Sam Lammers,ATT
Aleksander Buksa,ATT
Brian Silva,DEF
Marcin Listkowski,ATT
Panagiotis Karagiorgis,DEF
Junior Ajayi,ATT
Jony,MIL
Domingos Quina,MIL
Joel Malusà,G
Niccolò Fortini,MIL
Luca Belardinelli,MIL
Emirhan İlkhan,MIL
Ayoub Afi,ATT
Jayden Braaf,ATT
Michel Adopo,MIL
José Luis Palomino,DEF
Jacob Rasmussen,DEF
Andrei Coubiș,DEF
Simone Pafundi,MIL
Matthew Garbett,MIL
Luca Napolitano,MIL
Lassina Larsson Coulibaly,MIL
Dejan Kulusevski,MIL
Christian Dalle Mura,DEF
Roger Ibañez,DEF
Ruben Providence,ATT
Destiny Egharevba,ATT
Simone Scaglia,G
Andrea Mazia,ATT
Davide Diaw,ATT
Andrea Sodero,ATT
Marco Pompetti,MIL
Federico Bevilacqua,DEF
Alessandro Selvini,ATT
Cătălin Vulturar,MIL
David Ankeye,ATT
Janis Antiste,ATT
Hamza Haoudi,MIL
Marius Adamonis,G
Giacomo Stabile,DEF
Magnus Warming,ATT
Andrea D'Aniello,G
Kazper Rikard Karlsson,MIL
Saba Goglichidze,DEF
