Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
73,Péter Gulácsi,hu HUN,RB Leipzig,de Bundesliga,33,1990,13,13,1170,9,0.69,41,33,78.0,9,4,0,5,38.5,0,0,Unknown
74,Dean Henderson,eng ENG,Crystal Palace,eng Premier League,26,1997,18,18,1620,30,1.67,86,57,66.3,8,4,6,4,22.2,1,0,0.0
75,Sergio Herrera,es ESP,Osasuna,es La Liga,30,1993,32,32,2869,47,1.47,132,84,64.4,12,7,13,9,28.1,0,1,100.0
76,Lukáš Hrádecký,fi FIN,Leverkusen,de Bundesliga,33,1989,33,33,2970,24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,Unknown
77,Sam Johnstone,eng ENG,Crystal Palace,eng Premier League,30,1993,20,20,1796,27,1.35,67,41,62.7,5,6,9,6,30.0,2,0,0.0
78,Filip Jørgensen,dk DEN,Villarreal,es La Liga,21,2002,36,36,3240,63,1.75,205,143,72.2,13,10,13,6,16.7,6,0,0.0
79,Thomas Kaminski,be BEL,Luton Town,eng Premier League,30,1992,38,38,3405,85,2.25,221,140,63.3,6,8,24,2,5.3,4,0,0.0
80,Loris Karius,de GER,Newcastle Utd,eng Premier League,30,1993,1,1,90,4,4.00,7,4,42.9,0,0,1,0,0.0,0,0,Unknown
81,Caoimhín Kelleher,ie IRL,Liverpool,eng Premier League,24,1998,10,10,900,11,1.10,38,28,71.1,8,2,0,2,20.0,0,0,Unknown
82,Gregor Kobel,ch SUI,Dortmund,de Bundesliga,25,1997,27,27,2365,34,1.29,118,84,75.4,14,8,5,7,25.9,5,1,16.7
83,Philipp Köhn,ch SUI,Monaco,fr Ligue 1,25,1998,22,22,1980,32,1.45,97,65,72.2,11,5,6,5,22.7,5,1,16.7
84,Tomáš Koubek,cz CZE,Augsburg,de Bundesliga,30,1992,3,3,270,8,2.67,25,17,68.0,0,0,3,0,0.0,0,0,Unknown
85,Matej Kovar,cz CZE,Leverkusen,de Bundesliga,23,2000,1,1,90,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,Unknown
86,Alban Lafont,fr FRA,Nantes,fr Ligue 1,24,1999,28,28,2496,43,1.55,118,75,70.3,7,4,17,7,25.0,8,0,0.0
87,Nicola Leali,it ITA,Genoa,it Serie A,30,1993,3,2,176,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,Unknown
88,Jean-Louis Leca,fr FRA,Lens,fr Ligue 1,37,1985,1,1,90,2,2.00,2,0,0.0,0,1,0,0,0.0,0,0,Unknown
89,Benjamin Lecomte,fr FRA,Montpellier,fr Ligue 1,32,1991,30,30,2700,37,1.23,137,102,75.9,9,11,10,10,33.3,4,1,20.0
90,Jeremías Ledesma,ar ARG,Cádiz,es La Liga,30,1993,34,34,3048,47,1.39,151,104,70.2,6,12,16,9,26.5,2,0,0.0
91,Bernd Leno,de GER,Fulham,eng Premier League,31,1992,38,38,3420,61,1.61,190,133,72.1,13,8,17,10,26.3,8,0,0.0
92,Anthony Lopes,pt POR,Lyon,fr Ligue 1,32,1990,31,31,2790,49,1.58,155,106,71.0,16,4,11,9,29.0,4,1,20.0
93,Pau López,es ESP,Marseille,fr Ligue 1,28,1994,33,33,2939,39,1.19,124,86,71.0,13,11,9,7,21.2,3,0,0.0
94,Andriy Lunin,ua UKR,Real Madrid,es La Liga,24,1999,21,21,1890,17,0.81,65,48,75.4,16,5,0,10,47.6,1,0,0.0
95,Andreas Luthe,de GER,Bochum,de Bundesliga,36,1987,1,1,90,4,4.00,4,1,0.0,0,0,1,0,0.0,0,0,Unknown
96,Mike Maignan,fr FRA,Milan,it Serie A,28,1995,29,29,2609,34,1.17,120,86,77.5,19,5,5,10,34.5,7,0,0.0
97,Radosław Majecki,pl POL,Monaco,fr Ligue 1,23,1999,12,12,1080,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,Unknown
98,Giorgi Mamardashvili,ge GEO,Valencia,es La Liga,22,2000,37,37,3284,41,1.12,145,103,73.8,13,10,14,13,35.1,3,3,50.0
99,Steve Mandanda,fr FRA,Rennes,fr Ligue 1,38,1985,34,34,3060,46,1.35,147,104,70.7,12,10,12,7,20.6,3,0,0.0
100,Christos Mandas,gr GRE,Lazio,it Serie A,21,2001,9,8,721,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,Unknown
101,Vito Mannone,it ITA,Lille,fr Ligue 1,35,1988,2,1,91,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,Unknown
102,Diego Mariño,es ESP,Almería,es La Liga,33,1990,1,1,90,2,2.00,4,2,100.0,0,0,1,0,0.0,2,0,0.0
103,Unai Marrero,es ESP,Real Sociedad,es La Liga,21,2001,2,1,142,3,1.90,5,2,60.0,0,0,1,0,0.0,1,0,0.0
104,Tommaso Martinelli,it ITA,Fiorentina,it Serie A,17,2006,1,1,90,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,Unknown
105,Emiliano Martínez,ar ARG,Aston Villa,eng Premier League,30,1992,34,34,3015,48,1.43,139,95,66.2,19,8,7,8,23.5,1,0,0.0
106,Josep Martinez,es ESP,Genoa,it Serie A,25,1998,36,36,3239,43,1.19,130,87,69.2,11,13,12,8,22.2,3,1,25.0
107,Marc Martínez,es ESP,Granada,es La Liga,33,1990,3,3,270,11,3.67,23,12,60.9,0,0,3,0,0.0,2,0,0.0
108,Remi Matthews,eng ENG,Crystal Palace,eng Premier League,29,1994,1,0,4,1,22.50,1,0,0.0,0,0,0,0,Unknown,0,0,Unknown
109,Luís Maximiano,pt POR,Almería,es La Liga,24,1999,33,33,2970,63,1.91,175,111,66.3,2,11,20,6,18.2,4,1,20.0
110,Alex Meret,it ITA,Napoli,it Serie A,26,1997,31,31,2773,40,1.30,104,62,63.5,10,13,8,5,16.1,2,2,50.0
111,Alexander Meyer,de GER,Dortmund,de Bundesliga,32,1991,8,7,695,9,1.17,27,19,66.7,4,1,2,3,42.9,0,0,Unknown
112,Vanja Milinković-Savić,rs SRB,Torino,it Serie A,26,1997,36,36,3240,31,0.86,134,103,81.3,13,14,9,18,50.0,6,0,0.0
113,Antonio Mirante,it ITA,Milan,it Serie A,40,1983,2,2,177,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,Unknown
114,Lorenzo Montipò,it ITA,Hellas Verona,it Serie A,27,1996,37,37,3330,49,1.32,153,105,69.3,9,10,18,8,21.6,2,0,0.0
115,Kevin Müller,de GER,Heidenheim,de Bundesliga,32,1991,34,34,3060,55,1.62,174,121,72.4,10,12,12,6,17.6,7,1,12.5
116,Arijanet Muric,xk KVX,Burnley,eng Premier League,24,1998,10,10,900,16,1.60,78,62,80.8,2,4,4,0,0.0,1,1,50.0
117,Juan Musso,ar ARG,Atalanta,it Serie A,29,1994,11,11,990,12,1.09,34,23,70.6,6,1,4,6,54.5,2,0,0.0
118,Yvon Mvogo,ch SUI,Lorient,fr Ligue 1,29,1994,34,34,3060,66,1.94,207,142,72.0,7,8,19,4,11.8,8,0,0.0
119,Lapo Nava,it ITA,Milan,it Serie A,19,2004,1,0,3,1,30.00,2,1,50.0,0,0,0,0,Unknown,0,0,Unknown
120,Keylor Navas,cr CRC,Paris S-G,fr Ligue 1,36,1986,4,4,360,6,1.50,12,6,58.3,2,2,0,1,25.0,1,0,0.0
121,Massamba Ndiaye,sn SEN,Clermont Foot,fr Ligue 1,21,2001,4,4,360,6,1.50,24,18,79.2,1,2,1,0,0.0,1,0,0.0
122,Neto,br BRA,Bournemouth,eng Premier League,34,1989,32,32,2880,55,1.72,165,110,69.7,10,9,13,7,21.9,5,1,16.7
123,Manuel Neuer,de GER,Bayern Munich,de Bundesliga,37,1986,23,23,2053,33,1.45,93,59,66.7,16,1,6,6,26.1,2,1,33.3
124,Moritz Nicolas,de GER,Gladbach,de Bundesliga,25,1997,27,27,2430,49,1.81,160,111,71.9,6,11,10,4,14.8,4,0,0.0
125,Alexander Nübel,de GER,Stuttgart,de Bundesliga,26,1996,30,30,2700,36,1.20,107,74,69.2,20,3,7,11,36.7,3,0,0.0
126,Ørjan Nyland,no NOR,Sevilla,es La Liga,32,1990,24,24,2160,27,1.13,104,78,76.9,8,9,7,6,25.0,3,0,0.0
127,Jan Oblak,si SVN,Atlético Madrid,es La Liga,30,1993,38,38,3420,43,1.13,144,101,70.8,24,4,10,13,34.2,1,0,0.0
