Player,Rk,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Nation,Pos,Squad,Comp,Calculated_Age,Goals_per_minute,Goals_per_90,Assists_per_90
Mateusz Łęgowski,2852,20.0,2003.0,29,10.0,1145,12.7,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.5,16.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,pl POL,MF,Salernitana,it Serie A,22.0,0.0,0.0,0.0
Matheus Cunha,616,24.0,1999.0,32,29.0,2440,27.1,5,5,10,5,0,0,9,0,5.3500000000000005,4.85,3.2,9.55,77.0,87.0,139.0,0.4,0.26,0.7,0.375,0.66,0.35,0.12,0.47,0.32,0.44,br BRA,"FW,MF",Wolves,eng Premier League,26.0,0.0020483408439164277,0.18443378827001106,0.18443378827001106
Matheus França,903,19.0,2004.0,10,1.0,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12.0,8.0,12.0,0.0,0.3,0.39,0.0,0.39,0.14,0.3225,0.48,0.14,0.48,br BRA,"MF,FW",Crystal Palace,eng Premier League,21.0,0.0,0.0,0.3831417624521073
Matheus Henrique,1122,25.0,1997.0,31,27.0,2501,27.8,2,2,4,2,0,0,8,0,2.3,2.3,1.6,3.9,43.0,94.0,44.0,0.07,0.07,0.14,0.07,0.14,0.08,0.06,0.14,0.08,0.14,br BRA,MF,Sassuolo,it Serie A,28.0,0.0007993605115907274,0.07191657677094569,0.07191657677094569
Matheus Nunes,1924,24.0,1998.0,19,9.0,840,9.3,0,2,2,0,0,0,2,0,0.9,0.9,1.2000000000000002,2.2,35.0,42.0,67.0,0.0,0.27,0.27,0.0,0.27,0.15,0.2,0.36,0.15,0.36,pt POR,MF,Wolves,eng Premier League,27.0,0.0,0.0,0.21482277121374865
Mathias Honsak,1159,26.0,1996.0,23,10.0,1021,11.3,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.5,22.0,19.0,62.0,0.09,0.09,0.18,0.09,0.18,0.16,0.06,0.22,0.16,0.22,at AUT,"FW,MF",Darmstadt 98,de Bundesliga,29.0,0.0009784735812133072,0.08841732979664013,0.08841732979664013
Mathias Jensen,1230,27.0,1996.0,32,27.0,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4.0,4.7,19.0,123.0,66.0,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,dk DEN,MF,Brentford,eng Premier League,29.0,0.0013605442176870747,0.12239902080783353,0.12239902080783353
Mathias Jørgensen,1271,33.0,1990.0,14,12.0,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5.0,50.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,dk DEN,DF,Brentford,eng Premier League,35.0,0.0009191176470588235,0.08257638315441784,0.0
Mathias Olesen,1964,22.0,2001.0,6,0.0,112,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,lu LUX,"MF,FW",Köln,de Bundesliga,24.0,0.0,0.0,0.0
Mathias Pereira Lage,2089,26.0,1996.0,30,12.0,1187,13.2,3,2,5,3,0,0,3,0,3.5,3.5,1.7,5.2,19.0,23.0,95.0,0.23,0.15,0.38,0.23,0.38,0.27,0.13,0.4,0.27,0.4,pt POR,"FW,MF",Brest,fr Ligue 1,29.0,0.0025252525252525255,0.22710068130204392,0.1514004542013626
Mathieu Gorgelin,1017,32.0,1990.0,1,1.0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,GK,Le Havre,fr Ligue 1,35.0,0.0,0.0,0.0
Mathis Lambourde,1422,17.0,2006.0,1,0.0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,FW,Rennes,fr Ligue 1,19.0,0.0,0.0,0.0
Mathys Tel,2566,18.0,2005.0,30,6.0,1050,11.7,5,5,10,5,0,0,2,0,3.7,3.7,2.3,6.0,45.0,27.0,122.0,0.4,0.3,0.75,0.375,0.7249999999999999,0.32,0.2,0.52,0.32,0.52,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,20.0,0.004757373929590866,0.42698548249359525,0.42698548249359525
Mathías Olivera,1966,25.0,1997.0,23,18.0,1569,17.4,1,1,2,1,0,0,3,0,0.5,0.5,0.9,1.4,31.0,89.0,93.0,0.06,0.06,0.11,0.06,0.11,0.03,0.05,0.08,0.03,0.08,uy URU,DF,Napoli,it Serie A,28.0,0.0006369426751592356,0.05743825387708214,0.05743825387708214
Matias Arezo,134,20.0,2002.0,14,3.0,369,4.1,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,6.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.3,0.28,0.3,uy URU,FW,Granada,es La Liga,23.0,0.0,0.0,0.0
Matija Nastasić,1868,30.0,1993.0,26,25.0,2258,25.1,2,0,2,2,0,0,8,0,1.0,1.0,0.6,1.6,11.0,64.0,4.0,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,rs SRB,DF,Mallorca,es La Liga,32.0,0.0008853474988933156,0.0796495420151334,0.0
Mats Hummels,1169,34.0,1988.0,25,20.0,1581,17.6,3,0,3,3,0,0,4,0,3.2,3.2,0.9,4.1,11.0,82.0,1.0,0.17,0.0,0.17,0.17,0.17,0.18,0.05,0.23,0.18,0.23,de GER,DF,Dortmund,de Bundesliga,37.0,0.0018963337547408343,0.1703577512776831,0.0
Matt Doherty,739,31.0,1992.0,30,9.0,1150,12.8,1,0,1,1,0,0,2,0,0.8,0.8,1.3,2.2,12.0,31.0,64.0,0.08,0.0,0.08,0.08,0.08,0.07,0.1,0.17,0.07,0.17,ie IRL,"DF,MF",Wolves,eng Premier League,33.0,0.0008688097306689834,0.078064012490242,0.0
Matt Ritchie,2241,33.0,1989.0,13,0.0,128,1.4,1,0,1,1,0,0,1,0,1.0,1.0,0.0,1.0,5.0,8.0,13.0,0.4,0.0,0.7,0.375,0.7,0.445,0.0,0.68,0.395,0.68,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,36.0,0.007751937984496124,0.7092198581560284,0.0
Matt Targett,2552,27.0,1995.0,3,1.0,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,eng ENG,DF,Newcastle Utd,eng Premier League,30.0,0.0,0.0,0.0
Matt Turner,2646,29.0,1994.0,17,17.0,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,us USA,GK,Nott'ham Forest,eng Premier League,31.0,0.0,0.0,0.0
Matteo Cancellieri,443,21.0,2002.0,36,18.0,1788,19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48.0,26.0,138.0,0.2,0.15,0.35,0.2,0.35,0.24,0.15,0.38,0.24,0.38,it ITA,"FW,MF",Empoli,it Serie A,23.0,0.0022358859698155395,0.20090406830738322,0.15067805123053743
Matteo Darmian,642,33.0,1989.0,33,27.0,2404,26.7,2,1,3,2,0,0,2,0,1.2,1.2,1.8,3.0,18.0,72.0,82.0,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.11,0.04,0.11,it ITA,DF,Inter,it Serie A,36.0,0.0008316008316008316,0.07487832272557095,0.037439161362785474
Matteo Gabbia,922,23.0,1999.0,25,20.0,1752,19.5,2,1,3,2,0,0,7,0,1.6,1.6,0.4,2.0,12.0,51.0,2.0,0.14,0.07,0.21,0.14,0.21,0.11,0.04,0.16,0.11,0.16,it ITA,DF,Milan,it Serie A,26.0,0.0011409013120365088,0.10251153254741158,0.05125576627370579
Matteo Lovato,1520,23.0,2000.0,26,17.0,1491,16.5,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,1.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,it ITA,DF,Torino,it Serie A,25.0,0.0,0.0,0.0
Matteo Perez Vinlöf,2098,17.0,2005.0,1,0.0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,se SWE,FW,Bayern Munich,de Bundesliga,20.0,0.0,0.0,0.0
Matteo Pessina,2107,26.0,1997.0,37,37.0,3222,35.8,5,3,9,2,0,0,5,0,5.3500000000000005,2.4,1.1,3.5,69.0,178.5,53.0,0.17,0.08,0.25,0.06,0.14,0.18,0.03,0.21,0.07,0.1,it ITA,MF,Monza,it Serie A,28.0,0.0015513496742165685,0.1396258028483664,0.08377548170901984
Matteo Politano,2141,29.0,1993.0,37,31.0,2360,26.2,5,5,10,5,0,0,2,0,5.3500000000000005,4.8,4.35,9.55,77.0,164.0,183.0,0.31,0.27,0.57,0.23,0.5,0.27,0.25,0.52,0.18,0.43,it ITA,FW,Napoli,it Serie A,32.0,0.0021177467174925877,0.1907668828691339,0.1907668828691339
Matteo Prati,2154,19.0,2003.0,26,19.0,1972,21.9,1,1,2,1,0,0,4,0,2.0,2.0,0.8,2.8,8.0,66.0,17.0,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13,it ITA,MF,Cagliari,it Serie A,22.0,0.0005068423720223011,0.045641259698767686,0.045641259698767686
Matteo Ruggeri,2294,21.0,2002.0,34,28.0,2449,27.2,0,4,4,0,0,0,3,0,0.5,0.5,1.8,2.3,55.0,142.0,132.0,0.0,0.15,0.15,0.0,0.15,0.02,0.07,0.08,0.02,0.08,it ITA,DF,Atalanta,it Serie A,23.0,0.0,0.0,0.14700477765527378
Matthias Bader,179,26.0,1997.0,24,21.0,1802,20.0,1,2,3,1,0,0,1,0,0.7,0.7,2.3,3.0,38.0,67.0,66.0,0.05,0.1,0.15,0.05,0.15,0.04,0.12,0.15,0.04,0.15,de GER,"DF,MF",Darmstadt 98,de Bundesliga,28.0,0.0005546311702717693,0.04997501249375312,0.09995002498750624
Matthias Ginter,983,29.0,1994.0,23,22.0,1913,21.3,0,2,2,0,0,0,3,0,1.4,1.4,1.4,2.8,23.0,136.0,20.0,0.0,0.09,0.09,0.0,0.09,0.07,0.06,0.13,0.07,0.13,de GER,DF,Freiburg,de Bundesliga,31.0,0.0,0.0,0.09385265133740027
Matthieu Udol,2650,27.0,1996.0,30,30.0,2700,30.0,3,3,6,3,0,0,5,0,1.4,1.4,3.1,4.5,46.0,98.0,86.0,0.1,0.1,0.2,0.1,0.2,0.05,0.1,0.15,0.05,0.15,fr FRA,DF,Metz,fr Ligue 1,29.0,0.0011106997408367272,0.09996667777407531,0.09996667777407531
Matthijs de Ligt,1478,23.0,1999.0,22,16.0,1390,15.4,2,0,2,2,0,0,5,0,1.7,1.7,0.1,1.9,16.0,98.0,6.0,0.13,0.0,0.13,0.13,0.13,0.11,0.01,0.12,0.11,0.12,nl NED,DF,Bayern Munich,de Bundesliga,26.0,0.0014378145219266715,0.12978585334198572,0.0
Matthis Abline,9,20.0,2003.0,22,12.0,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28.0,20.0,87.0,0.4,0.0,0.43,0.375,0.43,0.33,0.17,0.5,0.33,0.5,fr FRA,FW,Nantes,fr Ligue 1,22.0,0.004784688995215311,0.4306632213608958,0.0
Mattia Bani,210,29.0,1993.0,27,27.0,2306,25.6,2,0,2,2,0,0,9,0,1.2,1.2,0.1,1.3,5.0,37.0,4.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,it ITA,DF,Genoa,it Serie A,32.0,0.0008669267446900737,0.07809449433814915,0.0
Mattia Caldara,426,29.0,1994.0,1,0.0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.58,0.395,0.58,it ITA,DF,Milan,it Serie A,31.0,0.0,0.0,0.0
Mattia De Sciglio,658,30.0,1992.0,1,1.0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it ITA,DF,Juventus,it Serie A,33.0,0.0,0.0,0.0
Mattia Destro,681,32.0,1991.0,15,3.0,366,4.1,0,0,0,0,0,0,2,0,1.2,1.2,0.3,1.5,4.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.29,0.08,0.37,0.29,0.37,it ITA,"FW,MF",Empoli,it Serie A,34.0,0.0,0.0,0.0
Mattia Perin,2100,30.0,1992.0,3,3.0,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it ITA,GK,Juventus,it Serie A,33.0,0.0,0.0,0.0
Mattia Viti,2718,21.0,2002.0,15,12.0,979,10.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,2.0,36.0,13.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,it ITA,DF,Sassuolo,it Serie A,23.0,0.0010204081632653062,0.09165902841429881,0.0
Mattia Zaccagni,2805,28.0,1995.0,28,24.0,1956,21.7,5,1,7,5,0,0,8,0,4.7,4.7,2.9,7.6,77.0,55.0,183.0,0.28,0.05,0.32,0.28,0.32,0.22,0.13,0.35,0.22,0.35,it ITA,"FW,MF",Lazio,it Serie A,30.0,0.0025549310168625446,0.23030861354214646,0.046061722708429294
Mattias Svanberg,2529,24.0,1999.0,25,20.0,1715,19.1,1,3,4,1,0,0,8,0,3.0,3.0,2.3,5.3,28.0,84.0,52.0,0.05,0.16,0.21,0.05,0.21,0.15,0.12,0.28,0.15,0.28,se SWE,MF,Wolfsburg,de Bundesliga,26.0,0.0005827505827505828,0.05232862375719518,0.15698587127158553
Matty Cash,480,25.0,1997.0,29,23.0,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62.0,88.0,101.0,0.08,0.08,0.17,0.08,0.17,0.18,0.1,0.27,0.18,0.27,pl POL,DF,Aston Villa,eng Premier League,28.0,0.0009332711152589828,0.08399832003359932,0.08399832003359932
