Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,name_norm,match_type
26,Amine Adli,ma MAR,MOC,Leverkusen,de Bundesliga,23,2000,10.0,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,6,2.3,2.9,+3.7,21,19,18,3,39,Matches,amine adli,exact
27,Yacine Adli,fr FRA,MDC,Milan,it Serie A,23,2000,15.6,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,Matches,yacine adli,exact
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,adryelson,original
29,Adson,br BRA,MOC,Nantes,fr Ligue 1,22,2000,2.6,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15,Matches,adson,exact
30,Michel Aebischer,ch SUI,MDC,Bologna,it Serie A,26,1997,24.8,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,Matches,michel aebischer,exact
31,Emmanuel Agbadou,ci CIV,DC,Reims,fr Ligue 1,26,1997,28.8,1599,1838,87.0,32774,10984,476,525,90.7,855,926,92.3,240,343,70.0,1,1.5,1.6,-0.5,12,172,5,1,179,Matches,emmanuel agbadou,exact
32,Julen Agirrezabala,es ESP,G,Athletic Club,es La Liga,22,2000,2.6,67,100,67.0,1906,1648,19,19,100.0,27,27,100.0,21,53,39.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches,julen agirrezabala,exact
33,Lucien Agoume,fr FRA,MIL,Inter,it Serie A,21,2002,0.1,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,lucien agoume,exact
34,Lucien Agoume,fr FRA,MIL,Sevilla,es La Liga,21,2002,8.6,301,360,83.6,5285,1424,141,163,86.5,120,135,88.9,31,42,73.8,0,0.6,0.3,-0.6,9,36,5,1,35,Matches,lucien agoume,exact
35,Felix Agu,ng NGA,MG,Werder Bremen,de Bundesliga,23,1999,17.9,488,669,72.9,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,0,0.6,1.4,-0.6,7,18,16,7,32,Matches,felix agu,exact
36,Nayef Aguerd,ma MAR,DC,West Ham,eng Premier League,27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,Matches,nayef aguerd,exact
37,Ruben Aguilar,fr FRA,MD,Lens,fr Ligue 1,30,1993,21.4,1044,1282,81.4,15383,5987,594,666,89.2,369,443,83.3,44,93,47.3,3,2.9,4.0,+0.1,26,73,42,14,110,Matches,ruben aguilar,exact
38,Brandon Aguilera,cr CRC,MIL,Nott'ham Forest,eng Premier League,20,2003,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,brandon aguilera,exact
39,Naouirou Ahamada,fr FRA,MIL,Crystal Palace,eng Premier League,21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,Matches,naouirou ahamada,exact
40,Anel Ahmedhodžić,ba BIH,DC,Sheffield Utd,eng Premier League,24,1999,29.4,749,993,75.4,12780,5078,334,386,86.5,348,425,81.9,54,137,39.4,0,0.8,0.6,-0.8,7,41,3,1,43,Matches,anel ahmedhodzic,exact
41,Joseph Aidoo,gh GHA,DC,Celta Vigo,es La Liga,27,1995,4.5,145,185,78.4,2918,1187,41,46,89.1,84,102,82.4,19,35,54.3,0,0.1,0.0,-0.1,1,8,1,0,12,Matches,joseph aidoo,exact
42,Ola Aina,ng NGA,DG,Nott'ham Forest,eng Premier League,26,1996,18.8,605,803,75.3,9657,4065,329,375,87.7,217,284,76.4,46,99,46.5,1,0.9,1.0,+0.1,11,58,13,6,69,Matches,ola aina,exact
43,Rayan Aït-Nouri,dz ALG,MG,Wolves,eng Premier League,22,2001,25.9,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,Matches,rayan ait-nouri,exact
44,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,154,203,75.9,2377,486,73,98,74.5,58,70,82.9,10,15,66.7,0,0.3,0.3,-0.3,7,7,2,0,16,Matches,tosin aiyegun,original
45,Kristoffer Ajer,no NOR,DC,Brentford,eng Premier League,25,1998,20.4,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,Matches,kristoffer ajer,exact
46,Ludovic Ajorque,fr FRA,BU,Mainz 05,de Bundesliga,29,1994,15.1,318,453,70.2,4546,479,172,241,71.4,105,145,72.4,15,19,78.9,0,1.0,1.6,-1.0,16,21,3,0,21,Matches,ludovic ajorque,exact
47,Manuel Akanji,ch SUI,DC,Manchester City,eng Premier League,28,1995,27.9,2180,2334,93.4,35688,9787,1091,1136,96.0,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,Matches,manuel akanji,exact
48,Marley Aké,fr FRA,MIL,Udinese,it Serie A,22,2001,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,marley ake,exact
49,Nathan Aké,nl NED,DC,Manchester City,eng Premier League,28,1995,22.7,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,+0.8,10,148,5,1,116,Matches,nathan ake,exact
50,Ilias Akhomach,ma MAR,MD,Villarreal,es La Liga,19,2004,16.8,372,481,77.3,5109,1318,239,275,86.9,101,133,75.9,14,28,50.0,2,2.6,2.5,-0.6,21,20,24,6,45,Matches,ilias akhomach,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
51,Sergio Akieme,es ESP,DG,Almería,es La Liga,25,1997,18.6,620,801,77.4,10224,3150,314,346,90.8,247,298,82.9,48,111,43.2,0,2.2,2.1,-2.2,17,30,14,12,28,Matches,sergio akieme,exact
52,Sergio Akieme,es ESP,DG,Reims,fr Ligue 1,25,1997,9.1,277,350,79.1,4318,1253,148,163,90.8,109,133,82.0,14,37,37.8,0,0.4,0.4,-0.4,6,15,4,2,20,Matches,sergio akieme,exact
53,Ebenezer Akinsanmiro,ng NGA,MIL,Inter,it Serie A,18,2004,0.2,7,8,87.5,83,45,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,1,1,0,2,Matches,ebenezer akinsanmiro,fuzzy:ebenezer ajodun akinsanmiro
54,Maghnes Akliouche,fr FRA,MOC,Monaco,fr Ligue 1,21,2002,17.9,645,833,77.4,9118,2859,380,444,85.6,196,246,79.7,32,69,46.4,4,3.5,3.4,+0.5,38,64,38,3,93,Matches,maghnes akliouche,exact
55,Paul Akouokou,ci CIV,MDC,Betis,es La Liga,25,1997,0.3,16,17,94.1,280,65,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,paul akouokou,exact
56,Paul Akouokou,ci CIV,MDC,Lyon,fr Ligue 1,25,1997,3.4,158,185,85.4,2723,717,61,73,83.6,76,81,93.8,14,19,73.7,0,0.0,0.1,0.0,0,16,0,0,13,Matches,paul akouokou,exact
57,Jean-Daniel Akpa-Akpro,ci CIV,MC,Monza,it Serie A,30,1992,7.8,220,263,83.7,3557,826,113,128,88.3,95,104,91.3,12,15,80.0,0,0.1,0.2,-0.1,1,14,0,0,10,Matches,jean-daniel akpa-akpro,fuzzy:jean-daniel akpa akpro
58,David Akpan Ankeye,ng NGA,ATT,Genoa,it Serie A,21,2002,0.6,8,9,88.9,85,20,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.4,0.0,0,0,1,0,1,Matches,david akpan ankeye,lastname:david ankeye
59,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,611,711,85.9,10584,3879,275,302,91.1,277,307,90.2,50,79,63.3,0,0.3,0.4,-0.3,5,71,2,0,55,Matches,kevin akpoguma,original
60,David Alaba,at AUT,DC,Real Madrid,es La Liga,31,1992,12.8,810,904,89.6,12977,4997,447,464,96.3,297,330,90.0,49,84,58.3,1,0.7,0.8,+0.3,10,56,5,0,51,Matches,david alaba,exact
61,Luis Alberto,es ESP,MC,Lazio,it Serie A,30,1992,25.7,1303,1679,77.6,20459,6568,711,797,89.2,442,538,82.2,104,239,43.5,7,4.7,4.8,+2.3,64,172,48,4,212,Matches,luis alberto,exact
62,Raúl Albiol,es ESP,DC,Villarreal,es La Liga,37,1985,22.6,1095,1272,86.1,22569,8497,295,325,90.8,663,714,92.9,130,206,63.1,1,0.8,0.6,+0.2,3,64,1,0,62,Matches,raul albiol,exact
63,Thiago Alcántara,es ESP,MC,Liverpool,eng Premier League,32,1991,0.1,7,10,70.0,130,30,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,thiago alcantara,lastname:alberto risco alcantara
64,Carlos Alcaraz,ar ARG,MC,Juventus,it Serie A,20,2002,4.2,143,165,86.7,2573,754,68,79,86.1,56,62,90.3,17,19,89.5,1,0.1,0.4,+0.9,2,20,4,0,27,Matches,carlos alcaraz,exact
65,Rubén Alcaraz,es ESP,MC,Cádiz,es La Liga,32,1991,34.8,1271,1582,80.3,23608,6666,577,637,90.6,487,558,87.3,167,303,55.1,1,1.4,1.6,-0.4,23,151,16,3,154,Matches,ruben alcaraz,exact
66,Omar Alderete,py PAR,DC,Getafe,es La Liga,26,1996,24.4,678,1056,64.2,16564,7319,155,199,77.9,351,441,79.6,167,384,43.5,1,1.0,0.8,0.0,13,98,14,1,98,Matches,omar alderete,exact
