Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,name_norm,match_type
103,Sofyan Amrabat,ma MAR,MDC,Manchester Utd,eng Premier League,26,1996,10.4,27,16,17,8,2,17,31,54.8,14,20,7,13,8,35,19,2,Matches,sofyan amrabat,exact
104,Joachim Andersen,dk DEN,DC,Crystal Palace,eng Premier League,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1,Matches,joachim andersen,exact
105,Elliot Anderson,eng ENG,MC,Newcastle Utd,eng Premier League,20,2002,11.4,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0,Matches,elliot anderson,exact
106,Felipe Anderson,br BRA,BU,Lazio,it Serie A,30,1993,30.8,78,45,32,33,13,34,90,37.8,56,45,3,42,27,105,23,0,Matches,felipe anderson,exact
107,Benjamin André,fr FRA,MDC,Lille,fr Ligue 1,32,1990,28.6,89,49,39,45,5,43,81,53.1,38,34,5,29,35,124,60,0,Matches,benjamin andre,exact
108,Komnen Andrić,rs SRB,BU,Clermont Foot,fr Ligue 1,28,1995,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0,Matches,komnen andric,exact
109,Robert Andrich,de GER,MC,Leverkusen,de Bundesliga,28,1994,18.8,30,18,8,14,8,13,24,54.2,11,15,4,11,20,50,17,0,Matches,robert andrich,exact
110,Miguel Ángel Rubio,es ESP,DC,Granada,es La Liga,25,1998,17.3,20,12,14,6,0,14,21,66.7,7,31,18,13,28,48,74,2,Matches,miguel angel rubio,lastname:miguel rubio
111,Angeliño,es ESP,DG,Roma,it Serie A,26,1997,12.7,21,11,12,6,3,11,19,57.9,8,11,5,6,12,33,37,1,Matches,angelino,exact
112,Ângelo,br BRA,ATT,Strasbourg,fr Ligue 1,18,2004,12.2,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0,Matches,angelo,exact
113,Fabrizio Angileri,ar ARG,DLG,Getafe,es La Liga,29,1994,1.8,1,1,1,0,0,1,3,33.3,2,0,0,0,4,5,8,0,Matches,fabrizio angileri,exact
114,Jaidon Anthony,eng ENG,AG,Bournemouth,eng Premier League,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,Matches,jaidon anthony,exact
115,Waldemar Anton,de GER,DC,Stuttgart,de Bundesliga,27,1996,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1,Matches,waldemar anton,exact
116,Michail Antonio,jm JAM,BU,West Ham,eng Premier League,33,1990,18.8,15,8,5,6,4,3,11,27.3,8,16,3,13,4,19,4,0,Matches,michail antonio,exact
117,Antony,br BRA,AD,Manchester Utd,eng Premier League,23,2000,14.7,40,21,15,19,6,20,40,50.0,20,29,1,28,12,52,9,0,Matches,antony,exact
118,Christopher Antwi-Adjei,gh GHA,BU,Bochum,de Bundesliga,29,1994,13.5,21,12,10,6,5,12,22,54.5,10,13,2,11,2,23,11,1,Matches,christopher antwi-adjei,exact
119,Houssem Aouar,dz ALG,MIL,Roma,it Serie A,25,1998,8.4,16,11,4,10,2,3,12,25.0,9,5,0,5,4,20,2,1,Matches,houssem aouar,exact
120,Stredair Appuah,fr FRA,ATT,Nantes,fr Ligue 1,19,2004,0.9,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0,Matches,stredair appuah,exact
121,Mauro Arambarri,uy URU,MC,Getafe,es La Liga,27,1995,3.8,6,2,3,2,1,1,6,16.7,5,1,0,1,2,8,7,0,Matches,mauro arambarri,exact
122,Jon Aramburu,ve VEN,DD,Real Sociedad,es La Liga,21,2002,6.0,24,15,12,10,2,15,25,60.0,10,8,3,5,7,31,17,0,Matches,jon aramburu,exact
123,Asaf Arania,il ISR,MIL,Darmstadt 98,de Bundesliga,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,asaf arania,lastname:asaf avraham arania
124,Julian Araujo,mx MEX,DD,Las Palmas,es La Liga,21,2001,16.2,41,22,29,7,5,23,33,69.7,10,23,16,7,10,51,52,1,Matches,julian araujo,exact
125,Ronald Araújo,uy URU,DC,Barcelona,es La Liga,24,1999,22.2,27,22,11,15,1,12,17,70.6,5,20,11,9,12,39,66,2,Matches,ronald araujo,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
126,Oliver Arblaster,eng ENG,MC,Sheffield Utd,eng Premier League,19,2004,10.5,23,14,11,8,4,7,15,46.7,8,17,7,10,16,39,9,0,Matches,oliver arblaster,fuzzy:ollie arblaster
127,Cameron Archer,eng ENG,BU,Sheffield Utd,eng Premier League,22,2001,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0,Matches,cameron archer,exact
128,Cameron Archer,eng ENG,BU,Aston Villa,eng Premier League,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,cameron archer,exact
129,Alphonse Areola,fr FRA,G,West Ham,eng Premier League,30,1993,30.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,16,0,Matches,alphonse areola,exact
130,Adu Ares,es ESP,AG,Athletic Club,es La Liga,21,2001,2.9,8,4,4,2,2,2,3,66.7,1,1,0,1,1,9,0,0,Matches,adu ares,lastname:malcom ares
131,Jesús Areso,es ESP,DD,Osasuna,es La Liga,24,1999,29.6,45,24,25,13,7,31,38,81.6,7,36,15,21,18,63,58,0,Matches,jesus areso,exact
132,Simone Aresti,it ITA,G,Cagliari,it Serie A,37,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,simone aresti,exact
133,Matias Arezo,uy URU,BU,Granada,es La Liga,20,2002,4.1,7,3,2,5,0,1,5,20.0,4,4,1,3,1,8,4,0,Matches,matias arezo,exact
134,Iñigo Arguibide,es ESP,ATT,Osasuna,es La Liga,18,2005,0.2,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches,inigo arguibide,fuzzy:inigo arguibide goni
135,Yoël Armougom,fr FRA,MG,Clermont Foot,fr Ligue 1,25,1998,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0,Matches,yoel armougom,exact
136,José Arnaiz,es ESP,BU,Osasuna,es La Liga,28,1995,10.3,14,8,6,4,4,6,21,28.6,15,11,2,9,3,17,2,0,Matches,jose arnaiz,exact
137,Hákon Arnar Haraldsson,is ISL,AG,Lille,fr Ligue 1,20,2003,14.3,12,8,4,7,1,5,21,23.8,16,7,2,5,3,15,5,0,Matches,hakon arnar haraldsson,lastname:hakon haraldsson
138,Marko Arnautović,at AUT,BU,Inter,it Serie A,34,1989,8.9,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0,Matches,marko arnautovic,exact
139,Maximilian Arnold,de GER,MC,Wolfsburg,de Bundesliga,29,1994,27.8,51,31,15,27,9,28,57,49.1,29,23,4,19,24,75,60,0,Matches,maximilian arnold,exact
140,Mohamed El Arouch,fr FRA,MIL,Lyon,fr Ligue 1,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,mohamed el arouch,exact
141,Sergio Arribas,es ESP,MOC,Almería,es La Liga,21,2001,22.7,34,17,16,17,1,14,31,45.2,17,20,1,19,16,50,8,1,Matches,sergio arribas,exact
