Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,name_norm,match_type
1205,Alex Iwobi,ng NGA,AG,Fulham,eng Premier League,27.0,1996.0,30,25,2192,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10.0,109.0,147.0,175.0,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,alex iwobi,lastname:alexander iwobi
1206,Armando Izzo,it ITA,DC,Monza,it Serie A,31.0,1992.0,23,20,1650,18.3,0,0,0,0,0,0,9,0,0.7,0.7,0.5,1.1,15.0,59.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,armando izzo,exact
1207,Nicolas Jackson,sn SEN,BU,Chelsea,eng Premier League,22.0,2001.0,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70.0,67.0,200.0,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,nicolas jackson,exact
1208,Jérémy Jacquet,fr FRA,DD,Rennes,fr Ligue 1,18.0,2005.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jeremy jacquet,exact
1209,Jérémy Jacquet,fr FRA,DD,Clermont Foot,fr Ligue 1,18.0,2005.0,6,2,253,2.8,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,5.0,15.0,4.0,0.0,0.36,0.36,0.0,0.36,0.08,0.12,0.19,0.08,0.19,jeremy jacquet,exact
1210,Lee Jae-sung,kr KOR,"MF,FW",Mainz 05,de Bundesliga,30.0,1992.0,29,24,2113,23.5,6,3,9,6,0,0,6,0,4.9,4.9,3.4,8.3,25.0,82.0,121.0,0.26,0.13,0.38,0.26,0.38,0.21,0.14,0.35,0.21,0.35,lee jae-sung,original
1211,Paul Jaeckel,de GER,DC,Union Berlin,de Bundesliga,25.0,1998.0,6,2,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,paul jaeckel,exact
1212,Filip Jagiełło,pl POL,MIL,Genoa,it Serie A,25.0,1997.0,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,filip jagiełło,exact
1213,Kristijan Jakić,hr CRO,MDC,Augsburg,de Bundesliga,26.0,1997.0,14,13,1051,11.7,2,1,3,2,0,0,4,0,0.8,0.8,0.3,1.0,11.0,56.0,10.0,0.17,0.09,0.26,0.17,0.26,0.07,0.02,0.09,0.07,0.09,kristijan jakic,exact
1214,Kristijan Jakić,hr CRO,MDC,Eint Frankfurt,de Bundesliga,26.0,1997.0,4,1,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,kristijan jakic,exact
1215,Ismail Jakobs,sn SEN,MG,Monaco,fr Ligue 1,23.0,1999.0,22,16,1466,16.3,1,2,3,1,0,0,0,0,1.3,1.3,1.8,3.1,44.0,56.0,133.0,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19,ismail jakobs,exact
1216,Ablie Jallow,gm GAM,MOC,Metz,fr Ligue 1,24.0,1998.0,17,10,918,10.2,3,2,5,2,1,1,1,0,2.0,1.2,1.0,2.2,29.0,42.0,53.0,0.29,0.2,0.49,0.2,0.39,0.19,0.1,0.29,0.12,0.22,ablie jallow,exact
1217,Reece James,eng ENG,DD,Chelsea,eng Premier League,23.0,1999.0,10,5,419,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,19.0,21.0,35.0,0.0,0.43,0.43,0.0,0.43,0.07,0.37,0.44,0.07,0.44,reece james,exact
1218,Vitaly Janelt,de GER,MC,Brentford,eng Premier League,25.0,1998.0,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25.0,123.0,81.0,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,vitaly janelt,exact
1219,Jakub Jankto,cz CZE,MG,Cagliari,it Serie A,27.0,1996.0,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12.0,26.0,48.0,0.1,0.21,0.31,0.1,0.31,0.16,0.05,0.21,0.15,0.2,jakub jankto,exact
1220,Tony Jantschke,de GER,DEF,Gladbach,de Bundesliga,33.0,1990.0,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tony jantschke,exact
1221,Adnan Januzaj,be BEL,MIL,Sevilla,es La Liga,28.0,1995.0,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,adnan januzaj,exact
1222,Nuha Jatta,gm GAM,MIL,RB Leipzig,de Bundesliga,17.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nuha jatta,exact
1223,Mikel Jauregizar,es ESP,MOC,Athletic Club,es La Liga,19.0,2003.0,7,1,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,mikel jauregizar,exact
1224,Luis Javier Suárez,co COL,FW,Almería,es La Liga,25.0,1997.0,15,10,917,10.2,6,0,6,5,1,1,3,0,6.5,5.7,0.6,6.3,30.0,15.0,53.0,0.59,0.0,0.59,0.49,0.49,0.64,0.06,0.7,0.56,0.62,luis javier suarez,original
1225,Danley Jean-Jacques,ht HAI,MC,Metz,fr Ligue 1,23.0,2000.0,33,30,2682,29.8,0,0,0,0,0,0,5,0,2.9,2.9,0.6,3.5,35.0,84.0,53.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,danley jean-jacques,exact
1226,Salim El Jebari,ma MAR,ATT,Atlético Madrid,es La Liga,19.0,2004.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,salim el jebari,exact
1227,Daniel Jebbison,eng ENG,ATT,Sheffield Utd,eng Premier League,19.0,2003.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,daniel jebbison,exact
1228,Jeffinho,br BRA,AG,Lyon,fr Ligue 1,23.0,1999.0,10,3,308,3.4,1,1,2,1,0,0,0,0,1.0,1.0,0.6,1.6,15.0,14.0,36.0,0.29,0.29,0.58,0.29,0.58,0.3,0.18,0.48,0.3,0.48,jeffinho,exact
1229,Fredrik Jensen,fi FIN,MD,Augsburg,de Bundesliga,25.0,1997.0,22,18,1338,14.9,2,4,6,2,0,0,1,0,0.9,0.9,4.3,5.2,22.0,46.0,90.0,0.13,0.27,0.4,0.13,0.4,0.06,0.29,0.35,0.06,0.35,fredrik jensen,exact
1230,Mathias Jensen,dk DEN,MC,Brentford,eng Premier League,27.0,1996.0,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4.0,4.7,19.0,123.0,66.0,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,mathias jensen,exact
1231,Moritz Jenz,de GER,DC,Wolfsburg,de Bundesliga,24.0,1999.0,22,21,1742,19.4,0,1,1,0,0,0,7,1,0.3,0.3,0.3,0.6,2.0,47.0,4.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,moritz jenz,exact
1232,Gabriel Jesus,br BRA,BU,Arsenal,eng Premier League,26.0,1997.0,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38.0,42.0,155.0,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,gabriel jesus,exact
1233,Juan Jesus,br BRA,DC,Napoli,it Serie A,32.0,1991.0,24,23,2116,23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,6.0,82.0,2.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,juan jesus,exact
1234,Alejandro Jiménez,es ESP,DF,Milan,it Serie A,18.0,2005.0,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,alejandro jimenez,original
1235,Raúl Jiménez,mx MEX,BU,Fulham,eng Premier League,32.0,1991.0,24,18,1395,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11.0,24.0,87.0,0.45,0.0,0.45,0.45,0.45,0.33,0.1,0.43,0.33,0.43,raul jimenez,exact
1236,João Pedro,br BRA,BU,Brighton,eng Premier League,21.0,2001.0,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83.0,92.0,205.0,0.4,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,joao pedro,exact
1237,Joelinton,br BRA,MC,Newcastle Utd,eng Premier League,26.0,1996.0,20,15,1279,14.2,2,1,3,2,0,0,6,0,3.1,3.1,2.8,5.9,29.0,56.0,60.0,0.14,0.07,0.21,0.14,0.21,0.22,0.2,0.41,0.22,0.41,joelinton,exact
1238,Ryan John Giles,eng ENG,MG,Luton Town,eng Premier League,23.0,2000.0,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,ryan john giles,exact
1239,Ben Johnson,eng ENG,DD,West Ham,eng Premier League,23.0,2000.0,14,4,544,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,17.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,ben johnson,exact
1240,Brennan Johnson,wls WAL,AD,Tottenham,eng Premier League,22.0,2001.0,32,23,2085,23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,97.0,72.0,293.0,0.22,0.43,0.65,0.22,0.65,0.44,0.35,0.79,0.44,0.79,brennan johnson,exact
1241,Brennan Johnson,wls WAL,AD,Nott'ham Forest,eng Premier League,22.0,2001.0,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.21,0.12,0.21,brennan johnson,exact
1242,Joseph Johnson,eng ENG,DEF,Luton Town,eng Premier League,17.0,2006.0,2,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joseph johnson,fuzzy:joe johnson
1243,Sam Johnstone,eng ENG,G,Crystal Palace,eng Premier League,30.0,1993.0,20,20,1796,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sam johnstone,exact
1244,Curtis Jones,eng ENG,MC,Liverpool,eng Premier League,22.0,2001.0,23,14,1167,13.0,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,31.0,74.0,88.0,0.08,0.08,0.15,0.08,0.15,0.2,0.05,0.25,0.2,0.25,curtis jones,exact
1245,Frenkie de Jong,nl NED,MC,Barcelona,es La Liga,26.0,1997.0,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69.0,168.0,38.0,0.11,0.0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,frenkie de jong,exact
1246,Joan Jordán,es ESP,MDC,Sevilla,es La Liga,29.0,1994.0,8,4,380,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,joan jordan,exact
1247,Jordi,es ESP,"MF,DF",Getafe,es La Liga,22.0,2001.0,13,5,573,6.4,0,0,0,0,0,0,1,0,1.3,1.3,0.6,1.8,6.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28,jordi,original
1248,Jeremy Jorge,es ESP,BU,Getafe,es La Liga,20.0,2003.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jeremy jorge,lastname:kaio jorge
1249,Kaio Jorge,br BRA,BU,Frosinone,it Serie A,21.0,2002.0,20,8,812,9.0,3,0,3,2,1,2,2,0,5.4,3.8,0.3,4.2,6.0,11.0,46.0,0.33,0.0,0.33,0.22,0.22,0.6,0.03,0.64,0.43,0.46,kaio jorge,exact
1250,Jorginho,it ITA,MC,Arsenal,eng Premier League,31.0,1991.0,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8.0,101.0,8.0,0.0,0.2,0.2,0.0,0.2,0.01,0.13,0.14,0.01,0.14,jorginho,exact
1251,Willian José,br BRA,BU,Betis,es La Liga,31.0,1991.0,33,25,1971,21.9,10,5,15,10,0,0,0,1,5.7,5.7,2.5,8.2,8.0,32.0,90.0,0.46,0.23,0.68,0.46,0.68,0.26,0.12,0.37,0.26,0.37,willian jose,exact
1252,Joselu,es ESP,BU,Real Madrid,es La Liga,33.0,1990.0,34,15,1687,18.7,10,2,12,10,0,2,1,0,11.6,10.0,1.7,11.7,15.0,20.0,98.0,0.53,0.11,0.64,0.53,0.64,0.62,0.09,0.71,0.53,0.62,joselu,exact
1253,Diogo Jota,pt POR,BU,Liverpool,eng Premier League,26.0,1996.0,21,14,1145,12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,54.0,34.0,111.0,0.79,0.24,1.02,0.79,1.02,0.42,0.26,0.68,0.42,0.68,diogo jota,exact
1254,Antoine Joujou,fr FRA,AG,Le Havre,fr Ligue 1,20.0,2003.0,23,6,779,8.7,0,2,2,0,0,0,1,0,1.1,1.1,0.6,1.8,35.0,22.0,82.0,0.0,0.23,0.23,0.0,0.23,0.13,0.07,0.2,0.13,0.2,antoine joujou,exact
1255,Luka Jović,rs SRB,BU,Milan,it Serie A,25.0,1997.0,23,8,877,9.7,6,1,7,6,0,0,2,1,4.9,4.9,0.8,5.7,6.0,22.0,47.0,0.62,0.1,0.72,0.62,0.72,0.5,0.09,0.59,0.5,0.59,luka jovic,exact
1256,Kamil Jóźwiak,pl POL,MG,Granada,es La Liga,25.0,1998.0,11,7,571,6.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,15.0,21.0,31.0,0.0,0.16,0.16,0.0,0.16,0.02,0.19,0.21,0.02,0.21,kamil jozwiak,fuzzy:kamil jan jozwiak
1257,Juanmi,es ESP,BU,Cádiz,es La Liga,30.0,1993.0,16,9,873,9.7,3,1,4,3,0,0,3,0,2.5,2.5,1.6,4.2,7.0,12.0,40.0,0.31,0.1,0.41,0.31,0.41,0.26,0.17,0.43,0.26,0.43,juanmi,exact
1258,Juanpe,es ESP,DC,Girona,es La Liga,32.0,1991.0,17,6,746,8.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,juanpe,exact
1259,Mads Juel Andersen,dk DEN,DF,Luton Town,eng Premier League,25.0,1997.0,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0.0,7.0,1.0,0.23,0.0,0.23,0.23,0.23,0.06,0.0,0.06,0.06,0.06,mads juel andersen,original
1260,Christopher Jullien,fr FRA,DC,Montpellier,fr Ligue 1,30.0,1993.0,20,13,1233,13.7,1,0,1,1,0,0,5,0,1.1,1.1,0.1,1.2,1.0,26.0,4.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.09,0.08,0.09,christopher jullien,exact
1261,Anthony Jung,de GER,DC,Werder Bremen,de Bundesliga,31.0,1991.0,31,30,2579,28.7,1,0,1,1,0,0,4,1,0.6,0.6,0.3,1.0,24.0,107.0,21.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,anthony jung,exact
1262,Eli Junior Kroupi,fr FRA,BU,Lorient,fr Ligue 1,17.0,2006.0,30,11,1084,12.0,5,3,8,5,0,0,1,0,3.5,3.5,1.8,5.3,10.0,12.0,63.0,0.42,0.25,0.66,0.42,0.66,0.29,0.15,0.44,0.29,0.44,eli junior kroupi,exact
1263,Hamed Junior Traorè,ci CIV,MIL,Bournemouth,eng Premier League,23.0,2000.0,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41,hamed junior traore,exact
1264,Hamed Junior Traorè,ci CIV,MIL,Napoli,it Serie A,23.0,2000.0,9,5,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.7,1.6,12.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,0.37,0.2,0.37,hamed junior traore,exact
1265,Vinicius Júnior,br BRA,BU,Real Madrid,es La Liga,23.0,2000.0,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137.0,57.0,277.0,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.8,vinicius junior,exact
1266,Josip Juranović,hr CRO,MD,Union Berlin,de Bundesliga,27.0,1995.0,21,14,1294,14.4,0,2,2,0,0,1,4,0,1.4,0.6,2.3,2.9,22.0,52.0,46.0,0.0,0.14,0.14,0.0,0.14,0.1,0.16,0.26,0.04,0.2,josip juranovic,exact
1267,David Jurásek,cz CZE,MG,Hoffenheim,de Bundesliga,22.0,2000.0,13,4,496,5.5,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.1,12.0,12.0,38.0,0.0,0.18,0.18,0.0,0.18,0.03,0.18,0.21,0.03,0.21,david jurasek,exact
1268,Julian Justvan,de GER,MC,Hoffenheim,de Bundesliga,25.0,1998.0,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,julian justvan,exact
1269,Julian Justvan,de GER,MC,Darmstadt 98,de Bundesliga,25.0,1998.0,14,11,1023,11.4,2,2,4,2,0,0,1,0,0.9,0.9,2.5,3.4,20.0,56.0,50.0,0.18,0.18,0.35,0.18,0.35,0.08,0.22,0.3,0.08,0.3,julian justvan,exact
1270,Filip Jørgensen,dk DEN,G,Villarreal,es La Liga,21.0,2002.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,filip jørgensen,exact
1271,Mathias Jørgensen,dk DEN,DC,Brentford,eng Premier League,33.0,1990.0,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5.0,50.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,mathias jørgensen,exact
1272,Mohamed Kaba,fr FRA,MC,Lecce,it Serie A,21.0,2001.0,23,15,1378,15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2.0,14.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.13,0.08,0.13,mohamed kaba,exact
1273,Sory Kaba,gn GUI,BU,Las Palmas,es La Liga,28.0,1995.0,17,9,720,8.0,1,1,2,1,0,0,2,0,1.5,1.5,0.3,1.8,7.0,12.0,36.0,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23,sory kaba,exact
1274,Ozan Kabak,tr TUR,DC,Hoffenheim,de Bundesliga,23.0,2000.0,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21.0,110.0,11.0,0.16,0.0,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13,ozan kabak,exact
1275,Christian Kabasele,be BEL,DC,Udinese,it Serie A,32.0,1991.0,13,10,861,9.6,1,1,2,1,0,0,5,0,1.2,1.2,0.5,1.6,7.0,22.0,1.0,0.1,0.1,0.21,0.1,0.21,0.12,0.05,0.17,0.12,0.17,christian kabasele,exact
1276,Issa Kaboré,bf BFA,MD,Luton Town,eng Premier League,22.0,2001.0,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60.0,54.0,85.0,0.0,0.1,0.1,0.0,0.1,0.01,0.11,0.12,0.01,0.12,issa kabore,exact
1277,Abdoul Kader Bamba,fr FRA,MOC,Nantes,fr Ligue 1,29.0,1994.0,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41.0,31.0,73.0,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46,abdoul kader bamba,exact
1278,Yaya Kader Fofana,ml MLI,"MF,DF",Reims,fr Ligue 1,19.0,2004.0,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,yaya kader fofana,original
1279,Pavel Kadeřábek,cz CZE,MD,Hoffenheim,de Bundesliga,31.0,1992.0,29,28,2412,26.8,3,4,7,3,0,0,7,0,2.5,2.5,4.7,7.2,38.0,88.0,153.0,0.11,0.15,0.26,0.11,0.26,0.09,0.18,0.27,0.09,0.27,pavel kaderabek,exact
1280,Tino Kadewere,zw ZIM,BU,Lyon,fr Ligue 1,27.0,1996.0,11,2,296,3.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,4.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28,tino kadewere,exact
1281,Tino Kadewere,zw ZIM,BU,Nantes,fr Ligue 1,27.0,1996.0,14,8,781,8.7,1,0,1,1,0,1,1,0,1.9,1.2,1.8,2.9,15.0,26.0,53.0,0.12,0.0,0.12,0.12,0.12,0.22,0.21,0.43,0.13,0.34,tino kadewere,exact
1282,Kaiky,br BRA,DC,Almería,es La Liga,19.0,2004.0,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,4.0,24.0,1.0,0.17,0.0,0.17,0.17,0.17,0.04,0.0,0.04,0.04,0.04,kaiky,exact
1283,Florian Kainz,at AUT,MOC,Köln,de Bundesliga,30.0,1992.0,33,29,2197,24.4,5,4,9,0,5,5,4,0,5.0,1.0,3.3,4.3,40.0,124.0,100.0,0.2,0.16,0.37,0.0,0.16,0.2,0.13,0.34,0.04,0.18,florian kainz,exact
1284,Sasa Kalajdzic,at AUT,BU,Wolves,eng Premier League,26.0,1997.0,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1.0,2.0,1.0,5.0,9.0,1.08,0.0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,sasa kalajdzic,exact
1285,Sasa Kalajdzic,at AUT,BU,Eint Frankfurt,de Bundesliga,26.0,1997.0,5,5,325,3.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,1.0,8.0,9.0,0.0,0.28,0.28,0.0,0.28,0.05,0.14,0.19,0.05,0.19,sasa kalajdzic,exact
1286,Arnaud Kalimuendo,fr FRA,BU,Rennes,fr Ligue 1,21.0,2002.0,30,25,2139,23.8,10,1,11,8,2,2,6,0,9.0,7.4,2.7,10.1,27.0,37.0,181.0,0.42,0.04,0.46,0.34,0.38,0.38,0.11,0.49,0.31,0.43,arnaud kalimuendo,exact
1287,Yayah Kallon,sl SLE,ATT,Hellas Verona,it Serie A,22.0,2001.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yayah kallon,exact
1288,Gedeon Kalulu,cd COD,MD,Lorient,fr Ligue 1,25.0,1997.0,19,11,970,10.8,0,1,1,0,0,0,0,0,0.3,0.3,1.1,1.4,17.0,35.0,60.0,0.0,0.09,0.09,0.0,0.09,0.03,0.1,0.13,0.03,0.13,gedeon kalulu,exact
1289,Pierre Kalulu,fr FRA,DD,Milan,it Serie A,23.0,2000.0,9,4,374,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,pierre kalulu,exact
1290,Daichi Kamada,jp JPN,MC,Lazio,it Serie A,26.0,1996.0,29,17,1544,17.2,2,2,4,2,0,0,3,0,1.8,1.8,2.8,4.6,40.0,96.0,78.0,0.12,0.12,0.23,0.12,0.23,0.11,0.16,0.27,0.11,0.27,daichi kamada,exact
1291,Waren Kamanzi,no NOR,MD,Toulouse,fr Ligue 1,22.0,2000.0,24,12,1187,13.2,0,3,3,0,0,0,1,0,0.8,0.8,2.5,3.4,35.0,56.0,55.0,0.0,0.23,0.23,0.0,0.23,0.06,0.19,0.26,0.06,0.26,waren kamanzi,fuzzy:warren kamanzi
1292,Boubacar Kamara,fr FRA,MC,Aston Villa,eng Premier League,23.0,1999.0,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19.0,83.0,10.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,boubacar kamara,exact
1293,Hassane Kamara,ci CIV,MG,Udinese,it Serie A,29.0,1994.0,35,27,2225,24.7,1,1,2,1,0,0,4,0,1.9,1.9,2.8,4.8,61.0,81.0,93.0,0.04,0.04,0.08,0.04,0.08,0.08,0.11,0.19,0.08,0.19,hassane kamara,exact
1294,Willy Kambwala,fr FRA,DC,Manchester Utd,eng Premier League,18.0,2004.0,8,3,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,willy kambwala,exact
1295,Jakub Kamiński,pl POL,AG,Wolfsburg,de Bundesliga,21.0,2002.0,17,4,473,5.3,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.1,13.0,18.0,53.0,0.0,0.38,0.38,0.0,0.38,0.09,0.13,0.22,0.09,0.22,jakub kaminski,exact
1296,Thomas Kaminski,be BEL,G,Luton Town,eng Premier League,30.0,1992.0,38,38,3405,37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thomas kaminski,exact
