Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,name_norm,match_type
161,Yann Aurel Bisseck,de GER,DC,Inter,it Serie A,22.0,2000.0,16,9,904,10.0,2,0,2,2,0,0,0,0,0.9,0.9,0.5,1.4,24.0,30.0,20.0,0.2,0.0,0.2,0.2,0.2,0.09,0.05,0.14,0.09,0.14,yann aurel bisseck,lastname:yann bisseck
162,Serge Aurier,ci CIV,DD,Nott'ham Forest,eng Premier League,30.0,1992.0,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10.0,47.0,29.0,0.0,0.22,0.22,0.0,0.22,0.02,0.05,0.07,0.02,0.07,serge aurier,exact
163,Ezequiel Ávila,ar ARG,BU,Osasuna,es La Liga,29.0,1994.0,17,10,864,9.6,1,3,4,1,0,0,3,2,2.0,2.0,2.3,4.3,14.0,39.0,75.0,0.1,0.31,0.42,0.1,0.42,0.21,0.24,0.45,0.21,0.45,ezequiel avila,exact
164,Ezequiel Ávila,ar ARG,BU,Betis,es La Liga,29.0,1994.0,6,4,298,3.3,1,0,1,1,0,0,4,1,0.7,0.7,0.1,0.8,7.0,6.0,31.0,0.3,0.0,0.3,0.3,0.3,0.22,0.02,0.24,0.22,0.24,ezequiel avila,exact
165,Taiwo Awoniyi,ng NGA,BU,Nott'ham Forest,eng Premier League,25.0,1997.0,20,12,1042,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8.0,14.0,45.0,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,taiwo awoniyi,exact
166,André Ayew,gh GHA,ATT,Le Havre,fr Ligue 1,33.0,1989.0,19,12,1104,12.3,5,0,5,5,0,0,2,1,3.1,3.1,0.8,3.9,14.0,23.0,65.0,0.41,0.0,0.41,0.41,0.41,0.25,0.07,0.32,0.25,0.32,andre ayew,exact
167,Jordan Ayew,gh GHA,BU,Crystal Palace,eng Premier League,31.0,1991.0,35,30,2543,28.3,4,7,11,4,0,0,9,1,3.9,3.9,4.2,8.1,74.0,63.0,173.0,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.29,0.14,0.29,jordan ayew,exact
168,Neil El Aynaoui,fr FRA,MC,Lens,fr Ligue 1,22.0,2001.0,25,17,1566,17.4,1,2,3,1,0,0,1,0,2.4,2.4,0.8,3.2,25.0,59.0,44.0,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,neil el aynaoui,exact
169,Sardar Azmoun,ir IRN,ATT,Roma,it Serie A,28.0,1995.0,23,3,585,6.5,3,0,3,3,0,0,4,0,2.9,2.9,1.4,4.2,5.0,14.0,35.0,0.46,0.0,0.46,0.46,0.46,0.44,0.21,0.65,0.44,0.65,sardar azmoun,exact
170,César Azpilicueta,es ESP,DEF,Atlético Madrid,es La Liga,33.0,1989.0,25,14,1423,15.8,0,2,2,0,0,0,4,0,0.6,0.6,2.4,3.0,39.0,77.0,39.0,0.0,0.13,0.13,0.0,0.13,0.04,0.15,0.19,0.04,0.19,cesar azpilicueta,exact
