Name,Position
Julien Duranville,ATT
Philipp Schulze,G
Gil Dias,MIL
Mamadou Doucouré,DEF
Johannes Schenk,G
Samuel Bamba,ATT
Joško Gvardiol,DEF
Felix Finn Lange,DEF
Yann Sommer,G
Luca Denk,DEF
Malik Tillman,MIL
Lukas Petkov,MIL
Renato Veiga,MIL
Lasse Rieß,G
Dudu,G
Aljoscha Kemlein,MIL
Yassin Ben Balla,MIL
Matthias Köbbing,G
Dario Ndubuisi Gebuhr,DEF
Melvin Aladin Ramusović,MIL
Tony Jantschke,DEF
Joel Victor Imasuen,ATT
Henri Koudossou,DEF
Mateo Klimowicz,MIL
Sidney Raebiger,MIL
Paris Brunner,ATT
Muhammed Damar,MIL
Anrie Chase,DEF
Ilaix Moriba,MIL
Hendry Blank,DEF
Nuha Jatta,MIL
Silas Ostrzinski,G
Raul Paula,MIL
Nikola Soldo,DEF
David Čolina,DEF
Jean-Manuel Mbom,MIL
Gustavo Adolfo Puerta Molano,MIL
Bambasé Conté,MIL
Seedy Jarju,DEF
Christopher Lenz,DEF
Matija Marsenić,MIL
Thomas Leon Keller,MIL
Leon Opitz,ATT
Naba Mensah,MIL
Morten Jens Behrens,G
Asaf Avraham Arania,MIL
Nahuel Noll,G
Gabriel Vidović,MIL
Diant Ramaj,G
Bennit Bröger,MIL
Pep Biel,MIL
Nico Baier,MIL
Yannick Eduardo,ATT
Keanan Chidozie Mbaeri Bennetts,MIL
Luca Philipp,G
Max Moerstedt,ATT
Lion Semić,MIL
Stefan Schimmer,ATT
André Silva,ATT
Djibril Sow,MIL
Isak Hansen-Aarøen,MIL
Philipp Pentke,G
Filip Stojilković,ATT
Jonathan Norbye,DEF
Jonathan Asp-Jensen,MIL
Kevin Schade,MIL
Anselmo García MacNulty,DEF
Dennis Geiger,MIL
Joshua Quarshie,DEF
Nathanaël Mbuku,ATT
Noah Katterbach,DEF
Raphael Framberger,DEF
Fabio Di Michele Sanchez,DEF
Jonas Nickisch,G
Niclas Thiede,G
Timo Schlieck,G
Fabio Chiarodia,DC
Fabian Rüdlin,MIL
Jordan Beyer,DEF
Ignacio Ferri Julià,ATT
João Cancelo,DEF
Oluwaseun God Power Osaro Ogbemudia,DEF
Dimitris Limnios,MIL
Lukas Nmecha,ATT
Abdoulaye Kamara,MIL
Benjamin Pavard,DEF
Moussa Cissé,DEF
Mohamed Sankoh,ATT
Ragnar Ache,ATT
Daniel Peretz,G
Olé Pohlmann,MIL
Jérôme Onguéné,DEF
Yannic Stein,G
Marco Pašalić,MIL
Patrick Pentz,G
Alexander Sørloth,ATT
Frederik Winther,DEF
Morten Thorsby,MIL
Tom Hülsmann,G
Roberto Massimo,MIL
Michael Esser,G
Ali Akman,ATT
Michael Eberwein,MIL
Aaron Zehnter,DEF
John Peter Sesay,MIL
Nikolas Nartey,MIL
Niklas Klinger,G
Harpreet Singh Ghotra,MIL
Simon Walde,DEF
Oliver Burke,ATT
Marcel Łubik,G
Taichi Fukui,MIL
Dikeni-Rafid Salifou,MIL
Mohammed Tolba,DEF
Serge Müller,DEF
Semir Telalović,ATT
Lys Mousset,ATT
Paul Tschernuth,G
Marcel Lotka,G
Alexander Hack,DEF
Lucas Hernández,DEF
Tim Müller,DEF
Nico Schulz,DEF
Florian Dietz,ATT
Matteo Pérez Vinlöf,DEF
Daley Blind,DEF
Ken Izekor,ATT
Fisnik Asllani,ATT
Anwar El Ghazi,ATT
Ibrahim Digberekou,DEF
Carlos Gruezo,MIL
Lucas Alario,ATT
Davis Carlos Bautista Medina,MIL
Josué Emanuel Mbila,ATT
Kristian Pedersen,DEF
Madi Monamay Nsosemo,DEF
Maximilian Breunig,ATT
Jovan Milošević,ATT
Konstantinos Mavropanos,DEF
Rafael Lubach,MIL
David Mamutovic,MIL
Mats Pannewig,MIL
Daniel Klein,G
Jean-Mattéo Bahoya,MOC
Florian Schock,G
Jakob Busk,G
Paul Wanner,MIL
Junior Adamu,ATT
Sardar Azmoun,ATT
Mehmet Ibrahimi,ATT
Jakob Löpping,MIL
Stefan Posch,DEF
Elidon Qenaj,ATT
Clinton Lemere Mola,MIL
