Name,Position
Amine Messoussa,ATT
Naatan Skyttä,MIL
Aloïs Confais,MIL
Maxime Le Marchand,DEF
Serhou Guirassy,ATT
Cem Türkmen,MIL
Rocco Angelo Ascone,MIL
Sofiane Sidi Ali,MIL
Benoît Badiashile,DEF
Gino Caoki,MIL
Ouparine Djoco,G
Junior Diaz,DEF
Fallou Fall,DEF
Ibrahima Koné,ATT
Killian Prouchet,DEF
Dembo Sylla,DEF
Steven Fortès,DEF
Fodé Sylla,MIL
Aliou Baldé,ATT
Quentin Boisgard,MIL
Alexis Flips,MIL
Mohamed-Amine Bouchenna,ATT
Giovani Versini,ATT
Abdellah Baallal,ATT
Kaïl Boudache,ATT
Arthur Avom,MIL
Salifou Soumah,ATT
Noah Lahmadi,MIL
Kaj Sierhuis,ATT
Sérigné Faye,ATT
Myron Boadu,ATT
Quentin Cornette,MIL
Tom Saettel,ATT
Bonota Traore,ATT
Lesley Ugochukwu,MIL
Mamadou Sakho,DEF
Ismaëlo Ganiou,DEF
Serif Nhaga,DEF
Eiji Kawashima,G
Eliot Matazo,MIL
Xavi Simons,MIL
Sami Wattel,MIL
Royce Openda,ATT
Ilyes Aradj,DEF
Eliÿs Araar Fernandez,DEF
Layvin Kurzawa,DEF
Mauro Icardi,ATT
Renato Sanches,MIL
Mohamed Bamba,MIL
Alexis Sánchez,ATT
Raimane Daou,MIL
Junior Ndiaye Billong,ATT
Édouard Michut,MIL
Reda Belahyane,MIL
Morgan Bokele,ATT
Yann Kitala,ATT
Cheick Keita,DEF
Kléri Serber,MIL
Yanis Guermouche,ATT
Junior Flemmings,ATT
Farès Chaïbi,MIL
Jérôme Boateng,DEF
Anas Nanah,DEF
Noam Mayoka-Tika,MIL
Salim Ben Seghir,MIL
Luck Zogbé,DEF
Benoît Costil,G
Rémy Labeau-Lascary,ATT
Belmin Dizdarević,G
Théo Ramousse,G
Nemanja Radonjić,ATT
Xeka,MIL
Yanis Ali Issoufou,ATT
Teo Allix,DEF
Robin Risser,G
Sacha Delaye,ATT
Aaron Malouda,ATT
Elies Mahmoud,MIL
Yuliwes Bellache,MIL
Maxime Dupé,G
Sofiane Alakouch,DEF
Bassirou N'diaye,ATT
Ludovic Butelle,G
Yoni Gomis,DEF
Yacine Chaib,DEF
Matthieu Dreyer,G
Adrian Grbic,ATT
Noha Lemina,ATT
Mohamed Touré,ATT
Alexander Nübel,G
Malamine Efekele,ATT
Amadou Samoura,ATT
Alexis Kabamba,MIL
Ruslan Malinovskyi,MIL
Haris Belkebla,MIL
Gaël Lafont,MIL
Tom Ducrocq,MIL
Keny Mbala,DEF
Jimmy Cabot,MIL
Mamadou Sarr,DEF
Check-Oumar Diakité,MIL
Pape Ibnou Bâ,ATT
Roggerio Nyakossi,DEF
Cengiz Ünder,ATT
Aïman Maurer,MIL
Adrien Louveau,DEF
Andreaw Gravillon,DEF
Jelle Van Neck,G
Stredair Appuah,ATT
Alain Zadi,G
Tom Rapnouil,MIL
Antonin Cartillier,DEF
Andrei Girotto,DEF
Leandro Paredes,MIL
Hugo Barbet,G
Issiaga Camara,MIL
Léo Rouillé,DEF
Jens Cajuste,MIL
Walid Hasbi,G
Ayanda Sishuba,MIL
Samir El Mourabet,MIL
Camilo,MIL
Paolo Sciortino,MIL
Abdou Diallo,DEF
Willem Geubbels,ATT
Georginio Wijnaldum,MIL
Anthony Rouault,DEF
Yannis Nahounou,DEF
Malang Sarr,DEF
Cher Ndour,MIL
Alexandre Tunkadi,MIL
Damien Da Silva,DEF
Yannick Pandor,G
Kjetil Haug,G
Papa Ndiaga Yade,ATT
Victor Lekhal,MIL
Stan Berkani,MIL
Ichem Ferrah,ATT
Ousmane Touré,DEF
Justin Lacombe,G
Joe-Loïc Affamah,ATT
Jeff Reine-Adélaïde,MIL
Tiago Djaló,DEF
Oliver Zandén,DEF
Sami Lahssaini,MIL
Mohamed Jaouab,DEF
Ludovic Ajorque,ATT
Hugo Boutsingkham,DEF
Antoine Nuss,DEF
Arthur Daniel Tchaptchet,DEF
Rhys Healey,ATT
Jean-Eudes Aholou,MIL
Mohamed Ezzarhouni,G
Dion Lopy,MIL
Seko Fofana,MIL
Romaric Etonde,ATT
Adam Mabrouk,MIL
Dehmaine Tabibou,MIL
Théo Trinker,MIL
Kelvin Yeboah,ATT
Enzo Genton,DEF
Mathis Lambourde,ATT
Alexandre Olliero,G
Theocharis Tsingaras,MIL
Théo Chennahi,MIL
Neymar,ATT
Samuel Loric,DEF
Mohamed Koné,G
Dominique Youfeigane,G
El Chadaille Bitshiabu,DEF
Trévis Dago,ATT
Djaoui Cissé,MIL
Loïs Openda,ATT
Djibril Konté,ATT
Yahya Soumaré,ATT
Jere Uronen,DEF
Edan Diop,MIL
Chaïm El Djebali,MIL
Adame Faïz,MIL
Sergio Rico,G
Steven Baseya,DEF
Łukasz Poręba,MIL
Kasper Dolberg,ATT
Alexandre Letellier,G
Stephy Mavididi,ATT
Gabriel Tutu,DEF
Jamal Thiaré,ATT
Julian Pollersbeck,G
Lilian Baret,MIL
Flavien Tait,MIL
Joane Gadou,DEF
Rafael Ratão,ATT
Moritz Jenz,DEF
Presnel Kimpembe,DEF
Marvin Elimbi,DEF
Lisandru Olmeta,G
Moustapha Mbow,DEF
Juan Bernat,DEF
Sergio Ramos,DEF
Ismaël Gharbi,MIL
Guillaume Dietsch,G
Tom Negrel,G
Daouda Traoré,MIL
Malo Gusto,DEF
Robson Bambu,DEF
Simon Ebonog,MIL
Salvatore Sirigu,G
Nolan Mbemba,MIL
Ylan Gomes,ATT
Dany Jean,ATT
