Name,Position
Rob Holding,DEF
Riyad Mahrez,ATT
Billy Crellin,G
Manuel Lanzini,MIL
Marek Rodák,G
Luizão,DEF
Conrad Egan-Riley,DEF
Louie Watson,MIL
Harvey Griffiths,MIL
Owen Hampson,MIL
Christian Chigozie,MIL
Pablo Marí,DEF
Harrison Ashby,DEF
Dovydas Sasnauskas,DEF
Emilio Ballard-Matthews,ATT
Taylan Harris,ATT
Daniel Sassi,DEF
Billy Gee,DEF
Flynn Downes,MIL
Delano McCoy-Splatt,MIL
Djed Spence,DEF
Claudio Echeverri,MIL
Zach Abbott,DEF
Ben Jackson,DEF
Max Alleyne,DEF
Owen Hesketh,MIL
Jack Wells-Morrison,MIL
Luciano D'Auria-Henry,DEF
João Cancelo,DEF
Ted Curd,G
Bertrand Traoré,MIL
Darren Randolph,G
Alex Robertson,MIL
Isaac Hayden,MIL
Ismaila Coulibaly,MIL
Andrew Moran,MIL
Matt Ritchie,MIL
Jonathan Otto,DEF
True Grant,G
Conor Coady,DEF
George Shelvey,G
Harry Kane,ATT
Alfie James Pond,DEF
Ed Turns,DEF
Joe Rodon,DEF
Cameron Peupion,MIL
Calum Scanlon,DEF
Divin Mubama,ATT
Charlie Patino,MIL
Luke Freeman,MIL
Keylor Navas,G
Thierry Nevers,ATT
Harrison Murray-Campbell,DEF
Lewis Fiorini,MIL
Joshua Tyler Neufville,MIL
Luc De Fougerolles,DEF
Noël Atom,DEF
Jack Hinchy,MIL
Adrián,G
Romain Faivre,MIL
Justin Hubner,DEF
Jadon Sancho,ATT
Arthur Okonkwo,G
Ivan Perišić,MIL
Emmanuel Dennis,ATT
Jake John Philip Burger,MIL
Benjamin Chiemela Fredrick,DEF
Ryan Fraser,MIL
Fábio Carvalho,MIL
Elijah Xavier Campbell,DEF
Gonçalo Guedes,ATT
Emiliano Buendía,MIL
Levi Laing,DEF
James Furlong,DEF
Joe Hodge,MIL
Bendegúz Bolla,DEF
Liam Delap,ATT
Ryan Fredericks,DEF
Taylor Perry,MIL
Benjamin Mendy,DEF
Travis Patterson,ATT
Reuell Walters,DEF
Jake Eastwood,G
Admiral Dalindlela Muskwe,ATT
João Félix,ATT
Elliot Thorpe,MIL
Tommi O'Reilly,MIL
Leo Castledine,MIL
Joseph Brennen Hugill,ATT
Ateef Konaté,MIL
Sonny Aljofree,DEF
Shea Charles,MIL
Kieron Bowie,ATT
Taylor Foran,DEF
David Boateng,DEF
Nathan Ferguson,DEF
Stefan Bajčetić,MIL
Zachariah Daniel Robert Marsh,ATT
Bashir Humphreys,DEF
Tom King,G
Dylan Riley Williams,DEF
Maxi Oyedele,MIL
Lewis Warrington,MIL
Lukas Bornhøft Jensen,G
Kiano Dyer,MIL
Mahamadou Susoho,MIL
Ui-Jo Hwang,ATT
Will Norris,G
David Ozoh,MIL
Ruben Loftus-Cheek,MIL
Mason Burstow,ATT
Micah Hamilton,MIL
Teddy Jenks,MIL
Scott Carson,G
Cieran Peter Slicker,G
Louie Joseph Marsh,ATT
İlkay Gündoğan,MIL
Caleb Chukwuemeka,ATT
Luke Cundle,MIL
Christian Marques,DEF
Nigel Lonwijk,DEF
Deniz Undav,ATT
Jack Colback,MIL
Axel Piesold,MIL
Melkamu Frauendorf,MIL
Charles Sagoe Jr,ATT
Fred,MIL
Taylor Harwood-Bellis,DEF
Granit Xhaka,MIL
Henrique Arthur,MIL
Steve Cook,DEF
Anthony Knockaert,MIL
Darko Churlinov,ATT
Matthew Smith,MIL
Daniel Jebbison,ATT
Vincent Angelini,G
Gavin Kilkenny,MIL
Noha Lemina,ATT
Ryan Trevitt,MIL
Val Adedokun,DEF
João Virginia,G
Kieran Tierney,DEF
Benjamin Arthur,DEF
Zidane Iqbal,MIL
Michael Dacosta,ATT
Jacob Christopher Knightbridge,G
Ben Pearson,MIL
Theo Corbeanu,MIL
Ethan Brierley,MIL
Remo Freuler,MIL
Ty Barnett,ATT
Denis Franchi,G
Lorent Tolaj,ATT
Andy Irving,MIL
Allan Saint-Maximin,ATT
George Abbott,MIL
Marcus Bettinelli,G
Wilfried Zaha,ATT
Jonjo Shelvey,MIL
Dale Taylor,ATT
Josh Acheampong,DEF
Jeremy Sarmiento,ATT
Billy Fewster,MIL
Yunus Emre Konak,MIL
Luka Milivojević,MIL
Yankuba Minteh,ATT
Tim Krul,G
Cameron Ferguson,ATT
Adrian Mazilu,ATT
Hakim Ziyech,MIL
Allan Campbell,MIL
Luke Plange,ATT
Maxwell Kinsey-Wellings,DEF
Matthew Whittingham,MIL
Mauro Gomes Bandeira,MIL
Seán Grehan,DEF
Folarin Balogun,ATT
Jackson Smith,G
John McAtee,ATT
Taylor Richards,MIL
Killian Phillips,MIL
Hayao Kawabe,MIL
Sydie frederick Peck,MIL
Bradley Ibrahim,MIL
Lander Emery,G
Benicio Baker-Boaitey,ATT
Kieffer Moore,ATT
Adam Lewis,DEF
Ji-Soo Kim,DEF
Reda Khadra,MIL
Jayden Wareham,ATT
Enso González,ATT
Malachi Fagan-Walcott,DEF
Ben Doak,ATT
Fletcher Holman,MIL
Alex Rúnarsson,G
Andrey Santos,MIL
John-Kymani Gordon,ATT
Malang Sarr,DEF
Lucas Bergström,G
Eric Bailly,DEF
Édouard Mendy,G
Joe Johnson,DEF
Zak Norton Sturge,DEF
Max Robson,MIL
Ellery Balcombe,G
Tayo Adaramola,DEF
Ayden Heaven,DEF
Wout Weghorst,ATT
Fraser Forster,G
Dermot Mee,G
Pierre Ekwah,MIL
Dujuan Richards,ATT
Axel Tuanzebe,DEF
Vítězslav Jaroš,G
Jensen Weir,MIL
Omari Hutchinson,MIL
Kelland Watts,DEF
Ki-Jana Hoever,DEF
Pierre-Emerick Aubameyang,ATT
Antwoine Hackford,ATT
N'Golo Kanté,MIL
Kaelan Casey,DEF
Temple Ojinnaka,MIL
Brooke Norton-Cuffy,DEF
Jean-Philippe Gbamin,MIL
Luke McNally,DEF
Vicente Guaita,G
Josh King,MIL
Yerson Mosquera,DEF
Romelu Lukaku,ATT
Alex Telles,DEF
Dominic dos Santos Martins,MIL
Kaide Gordon,ATT
Max Reuben Woltman,MIL
Ivan Cavaleiro,ATT
Harry Clarke,DEF
Thomas Charlie Wooster,G
Kalidou Koulibaly,DEF
Nathan Butler-Oyedeji,ATT
Wayne Hennessey,G
James Shea,G
Joe Bryan,DEF
Radek Vítek,G
Aaron Keto-Diyawa,DEF
Naouirou Ahamada,MIL
Roshaun Andre Mathurin,ATT
Joseph Anang,G
Deivid Washington,ATT
Rhys Bennett,DEF
Brandon Aguilera,MIL
Fabian Mrozek,G
Jordan Amissah,G
Denis Zakaria,MIL
Michael Forbes,DEF
Paul Glatzel,ATT
Mipo Odubeko,ATT
Máximo Perrone,MIL
Romaine Mundle,MIL
Scott Twine,MIL
Nikola Vlašić,MIL
Altay Bayındır,G
Nathan Bishop,G
Jayden Danns,ATT
Luca Gunter,G
Cédric,DEF
Eddie Beach,G
Matt Dibley-Dias,MIL
Joe O'Shaughnessy,G
Diego Rosa,MIL
Taye Ashby-Hammond,G
Myles Spencer Peart-Harris,MIL
Matt Macey,G
Luke Harris,MIL
Kaine Kesler-Hayden,DEF
Viljami Sinisalo,G
Joe White,MIL
Chiquinho,ATT
